method,case_id,python_executable,python_version,implementation,platform,statistics_kde_available,statistics_kde_random_available,expected_classification,actual_classification,api_exercised,kernel,bandwidth,cumulative_flag,input_count,input_data_hash,evaluation_point,grid_summary,density_value,cdf_value,reference_value,absolute_error,relative_error,estimated_grid_mass,monotonicity_result,alias_pair_result,seed,sample_count,seeded_sequence_digest,repeated_sequence_match,left_density_score,right_density_score,local_density_label,density_query_results,exception_type,exception_message,elapsed_time,skip_reason,failure_reason,narrow_local_conclusion
ml_context_observation,duplicate_samples_peak_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8812716007232666e-07,,,
inspect_api,outlier_reweighting_local_observation_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,9.387731552124023e-07,,,
evaluate_pdf,outlier_reweighting_local_observation_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,local_observation,local_observation,statistics.kde,normal,0.6,,4,a23d52be028faf6e,,,,,,,,,,,,,,,,,,,,,2.60290689766407e-05,,,"base@[0,20]=[0.3321647544371834, 3.937402644738488e-219] outlier@[0,20]=[0.24912356582788756, 0.16622595016726363]; outlier changes all mixture weights"
evaluate_cdf,outlier_reweighting_local_observation_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501772880554199e-07,,,
draw_seeded_samples,outlier_reweighting_local_observation_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.454034984111786e-07,,,
ml_context_observation,outlier_reweighting_local_observation_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1560117602348328e-07,,,
inspect_api,seeded_kde_random_repeatability_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,7.320195436477661e-07,,,
evaluate_pdf,seeded_kde_random_repeatability_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,3.259629011154175e-07,,,
evaluate_cdf,seeded_kde_random_repeatability_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2910535335540771e-07,,,
draw_seeded_samples,seeded_kde_random_repeatability_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,pass,pass,statistics.kde_random,normal,0.5,,5,2c6f4fe8680571e9,,,,,,,,,,,42,10,add39ce9217b2d8c3965a087bf8690d05746a8dd4fef86983f213eeb10fe4339,True,,,,,,,8.915923535823822e-05,,,seeded sequences match locally
ml_context_observation,seeded_kde_random_repeatability_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,4.651956260204315e-07,,,
inspect_api,seeded_sequence_cross_version_disclaimer_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,7.278285920619965e-07,,,
evaluate_pdf,seeded_sequence_cross_version_disclaimer_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,4.423782229423523e-07,,,
evaluate_cdf,seeded_sequence_cross_version_disclaimer_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9010698199272156e-07,,,
draw_seeded_samples,seeded_sequence_cross_version_disclaimer_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,4.782341420650482e-07,,,"seed gives local repeatability, not cross-version bit identity"
ml_context_observation,seeded_sequence_cross_version_disclaimer_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6892091631889343e-07,,,"seed gives local repeatability, not cross-version bit identity"
inspect_api,tiny_density_threshold_classifier_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,5.029141902923584e-07,,,
evaluate_pdf,tiny_density_threshold_classifier_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,3.417953848838806e-07,,,
evaluate_cdf,tiny_density_threshold_classifier_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1886080503463745e-07,,,
draw_seeded_samples,tiny_density_threshold_classifier_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,not_applicable,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9976869225502014e-07,,,
ml_context_observation,tiny_density_threshold_classifier_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,local_observation,local_observation,statistics.kde,normal,0.3,,,,,,,,,,,,,,,,,,1.1531536571623748,6.40728320720486e-36,left,"[{""query"": -2.0, ""left_density"": 1.1531536571623748, ""right_density"": 6.40728320720486e-36, ""label"": ""left"", ""equal_within_tolerance"": false}, {""query"": 0.0, ""left_density"": 6.850921993077586e-09, ""right_density"": 6.850921993077586e-09, ""label"": ""tie"", ""equal_within_tolerance"": true}, {""query"": 2.0, ""left_density"": 6.40728320720486e-36, ""right_density"": 1.1531536571623748, ""label"": ""right"", ""equal_within_tolerance"": false}]",,,3.489293158054352e-05,,,density comparison is not a validated classifier; no accuracy computed; 1-D toy only; 3 queries recorded
inspect_api,no_global_ml_validity_claim_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,5.867332220077515e-07,,,no global ML validity claim
evaluate_pdf,no_global_ml_validity_claim_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,3.450550138950348e-07,,,no global ML validity claim
evaluate_cdf,no_global_ml_validity_claim_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0908191800117493e-07,,,no global ML validity claim
draw_seeded_samples,no_global_ml_validity_claim_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3283064365386963e-07,,,no global ML validity claim
ml_context_observation,no_global_ml_validity_claim_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,context_only,context_only,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0442530512809753e-07,,,no global ML validity claim
